linkid,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55
10,65.8121405750798,67.2053571428571,59.3618104667609,61.3976470588235,59.1109859154929,50.1926053310404,59.2232142857142,39.7249489587586,44.8661008487269,40.1638554216867,29.7649278579356,42.2201005025125,31.9775898520084,44.6932279909706,46.9633967789165,46.1341317365269,42.8140206185567,41.4156665139716,54.6037831021437,49.0360248447205,51.0155756207674,49.2971751412429,45.4428191489361,47.1661417322834,48.0313231323132,41.2575235109717,41.8866184448462,47.6197674418604,31.9688753799392,31.3665192083818,27.2197161290322,24.5875673435557,25.186329113924,22.7462493254182,16.9016828350821,14.2864879600181,17.4258987436248,23.0207956600361,18.0452136621228,18.846075949367,21.186064379388,20.4740852281282,15.6702762430939,18.1313044488326,18.1436644334401,16.2066176470588,18.2869746439736,15.1749133312322,16.6433157642549,20.6114111498257,20.886577652846,19.6873495587055,17.2824422029813,25.2211818879508,22.9117862371888,22.4991658943466,24.021485836451,27.2226548672566,32.9691230959242,30.3209031575233,35.3218890285509,34.7044671824307,32.6549575070821,48.975236380009,46.2594634873323,37.9937897683889,40.5832407631006,35.8738582677165,40.0357615894039,43.1815668202765,40.9767530487804,38.337601559961
11,75.4717273431448,72.7264735264735,73.3882352941176,73.6168905950096,64.3792207792207,60.9822099447513,55.1096907216494,50.3083083628439,52.0289409559512,44.6028409090909,24.2848163501397,38.9449517120281,35.5635573040687,35.7096701367114,31.8346776754525,25.3004537205081,35.3803977272727,11.7876783004552,31.1656873032528,23.4135400045589,27.976127093173,28.8383201083801,23.7425542655224,29.0902646030953,27.037176264889,22.4800850323702,30.0932307692307,32.6395556069899,25.9773778920308,31.2172400756143,27.9739644970414,29.9171201339472,25.9101633656209,25.7899199745614,23.8268415741675,16.9822247757104,24.1999494119134,24.3342188278266,18.8316867469879,17.3615508412582,17.663904752686,23.572422936692,18.6005842259006,22.1294841975646,18.7851756428677,16.2716077537058,18.6000226920313,15.3249051135187,15.4040452519712,18.4195099183197,19.1682526136121,17.3266919000756,16.8289247763702,22.0212954497503,29.0485922330097,24.1916300212461,29.4373681077863,27.4642758620689,34.6335696134813,35.2822797466948,34.7932067202337,34.0192345436702,29.0657889148439,34.5356594323873,37.1751091703056,38.2280412371134,37.9442006269592,35.0928108971664,32.2441638075771,33.1815134255492,34.8974110572908,37.5131858138829
12,72.2942779291553,72.1584352078239,73.0910547396528,72.6381818181818,52.4626836434867,56.7586349534643,43.8029164825452,54.669300911854,47.2971428571428,45.1784986098239,38.8203821656051,33.2831345826235,38.2126171143035,24.322343994632,19.4157221206581,15.7389920424403,21.5868525896414,14.1693327441449,13.9805504587155,13.4955320526656,12.9378628251988,11.1752092467118,12.310657957623,13.3570002697599,12.5317696335078,18.7156572003015,13.83177898997,16.6242586085734,14.5352023274266,18.339461883408,16.1894642053129,17.0571886691608,15.4893645044451,18.4375413546926,11.9126081019572,14.228819516229,13.1909117390037,24.0037336652146,20.3426324893851,19.7163542082169,15.5520809898762,20.2246404974737,18.2934568051663,10.6070322104745,20.2166383701188,19.1499451152579,18.233524302347,10.9018615040953,10.1053433352567,16.0461490294301,16.9151693290734,16.3122427199268,19.2524292965917,16.5189832341806,22.8145208131655,23.1928373758749,17.1571360381861,29.061646234676,27.2155234657039,27.8940890294332,28.8518408551068,29.4675,29.8060491493383,31.4189523248969,27.6883077390907,35.942746615087,30.631243972999,25.0698100251773,27.1981359472923,27.5721077654516,29.0053404166084,41.3221698113207
13,74.0571428571428,69.1448275862068,71.503448275862,64.7999999999999,61.8985074626865,48.9056603773584,44.8266666666666,56.3887850467289,47.52,39.4434782608695,34.2,28.4301369863013,40.3370078740157,29.1235955056179,15.78,18.7559999999999,19.195256916996,11.0799999999999,10.3380530973451,12.9644628099173,12.0609137055837,9.06716417910447,9.81387559808612,11.523044397463,10.64,17.0062499999999,10.8920716112531,14.3403973509933,14.58,15.3248407643312,18.45,14.9142857142857,13.1177142857142,13.9888579387186,10.378125,18.035294117647,9.49090909090909,18.1894736842105,20.7316159250585,18.4122503328894,19.1598784194528,17.6095693779904,18.9615635179153,15.4325153374233,25.1462686567164,19.5730205278592,21.2082901554404,16.9216589861751,14.8246913580246,13.9468531468531,19.4543046357615,18.4047337278106,19.6578151260504,15.5386046511627,22.5626086956521,25.6,13.825466893039,34.6960629921259,29.0507462686567,28.2118309859154,29.5594520547945,32.8741463414634,34.1052631578947,31.5776649746192,31.5107913669064,32.2315789473684,28.0642335766423,23.4371681415929,28.2023715415019,30.9528239202657,24.2796992481202,39.5389830508474
14,73.1625403659849,66.2715763342987,57.3183499288762,35.5317152986092,52.7070110701107,42.4349177330895,50.4996520088579,57.0975181936928,37.1125433255269,33.0397640850535,30.9005569509664,28.0620425029516,37.5934426229508,35.454131054131,21.0555335667529,19.1113137372525,11.0110509448557,13.9223408727823,10.5170315131104,11.0650377138,10.3739371929074,7.79249264561678,9.71936153352703,8.71068109679146,10.8098874468199,10.8006780938029,9.58517803724789,9.70907589623615,12.2029488291413,12.5568195166026,11.6920163030448,11.9969570405727,12.3568629311571,13.7266379438419,10.9510022271714,17.1545265245413,9.33565604151223,13.9728047358507,17.8951659871869,19.2536098923015,18.8639662183296,17.638479453677,17.8208670899934,16.885495052837,20.3744771863117,17.2866206285313,18.2831765148663,20.1934309457855,15.7334324123488,16.4022650056625,17.7837461809635,17.5812571756601,19.9166069100391,15.1058673901984,19.1626495347806,25.4724522866402,16.9083738210917,30.6341697107611,32.0364023318219,32.1849025069637,29.2943293498823,30.9250829675623,30.9465821841222,32.8256463288521,31.7557753669432,30.5742160964804,31.4938415427246,24.8264804389652,22.6938655070663,26.7564710324285,27.105006815084,31.1314686336084
15,75.2428571428571,71.1767918088737,63.6113207547169,64.4565137614678,63.013953488372,47.3737704918032,59.0882352941176,62.7293666026871,32.9807536592961,27.6436459246275,29.1738375697458,15.2241143567433,25.0423750533959,25.225133814289,23.4124962269846,21.2490706319702,13.4042817679558,18.0115169288189,14.9265774378585,10.1013567438148,13.4658707865168,10.0341335142929,13.2696986301369,12.0672839506172,11.3705098759761,9.52158392665561,11.7805545805545,9.92907348242811,10.3149529747437,10.7803009575923,12.8826606393283,13.1496044872716,11.0882822002973,11.732311144353,10.1145354281552,9.09747012595543,10.6531637717121,14.9211155378486,18.6570954907161,17.601994648504,18.6445926166856,14.1004151017987,17.4200621504039,19.5998779929845,17.0563643341435,14.3531302740496,19.8604821037253,18.6802123552123,17.1156308028399,17.2288349846258,15.3003542842146,13.3743228983468,17.2849734325185,16.6952917958838,19.9933174224343,23.2326931165007,19.0624342463268,22.0667796610169,24.7166865963691,23.9102298332582,23.0274548119198,29.2725686873091,24.5413953488372,24.188330554894,21.1689959456236,24.2146649810366,24.2662288930581,28.2723546234509,20.1610352264557,22.5142412451361,24.1086770285154,26.1042056074766
16,76.7999999999999,67.5333333333333,62.0307692307692,64.512,64.5119999999999,51.1919999999999,59.0048780487804,63.3029702970297,31.9367647058823,29.3236363636363,23.2,15.5263803680981,25.0046511627906,23.3047058823529,35.2799999999999,18.594495412844,25.0491017964071,23.5786259541984,15.5575562700964,9.89493433395872,40.32,11.6222841225626,19.9565217391304,9.22995594713656,9.99350649350649,13.090909090909,12.7826086956521,8.4087912087912,9.17313974591651,8.60869565217391,16.2955414012738,7.54405594405594,10.7705722070844,10.3160655737704,10.502411021814,17.7882352941176,9.16046511627907,12.7979381443298,12.7314285714285,12.5187096774193,15.7079999999999,14.2564593301435,13.1472,19.4298387096774,11.1917775090689,10.9073327961321,26.1090909090909,14.7550834597875,16.526037735849,18.7408695652173,15.2597014925373,11.9106382978723,20.16,17.5085889570552,16.2376963350785,19.039226519337,9.17591312931885,19.0285714285714,21.1984063745019,20.9172413793103,22.48,26.9503448275862,19.8631051752921,20.7315789473684,22.4820826952526,20.4566775244299,19.1876923076923,27.0407766990291,19.0021413276231,20.8182054616384,21.7466893039049,23.1724137931034
17,75.18509895227,70.598510494245,65.1041711229946,64.0147308781869,65.5022421524663,58.8871583676525,59.8442256042972,60.6235023041474,36.1192052980132,38.2274273412271,32.3060869565217,24.4021245774987,24.1475152571926,29.2533687515092,43.0656205420827,28.277221952404,37.4520710059171,33.3843818849449,20.6809590973201,13.2925841414717,14.1722363847045,10.9932025792584,16.287515961104,7.53244047619047,10.1618606375092,10.3649984128663,11.5927707493396,9.08418244865297,8.66082944879619,10.0265546218487,12.1767207725498,11.7043249108665,9.98691473124046,11.1201756136499,14.2530928786852,10.5565310492505,10.1413355874894,11.13693843594,17.7051258640928,15.0633209062231,15.1807098996555,13.0430372492836,14.9699780491923,16.11484596839,12.7978815599422,13.9640487190256,17.5393270821842,14.2629312776158,15.3888840910492,17.7296588464296,15.528390596745,13.9894736842105,17.1794057609435,18.8479265694148,15.8933333333333,18.4280278019113,15.0060251600088,16.1749999999999,23.3760747455647,25.4885987525987,26.8050221565731,30.6931448386236,25.4785263157894,24.0935704514363,22.4717306333882,21.2183009191083,22.0208418367346,27.457939242092,21.5127338021846,19.1394598825831,23.9227147552633,23.2219907655964
18,75.825,73.7210408921933,68.5993355481727,63.5070422535211,63.0282722513088,60.4544011045909,58.1347237880496,58.4953475014359,51.2029739776951,52.2375979112271,50.6380376821898,43.8257313263277,42.9820945945945,53.987,53.7369279886484,56.3645195353748,47.8479397430217,53.2439692044482,45.700033411293,28.9137145141943,16.7960556489833,14.1678845563401,11.5380564263322,11.4965523097826,9.61915016343011,12.5164285714285,9.64943640897755,9.43170583714251,10.6664647993943,10.3805073020753,10.9339585304998,10.2511637850404,12.3755642343268,11.1940501212611,10.0608932947204,12.6951851851851,8.08674627396367,14.3077642170864,15.4400522902106,17.673039060019,16.0362013389536,15.2779858299595,13.8811566465571,16.4857383131338,14.9195914198161,13.920545363853,15.9384540117416,13.1105038856856,19.4253245274424,14.5063877715205,15.6260612043435,16.5601497504159,15.5914126826744,15.3651307236747,17.3193944858349,18.5646646286639,21.6773359451518,17.2319777955338,23.7184607783938,32.4930032292787,43.0539996806642,45.9561305271287,40.774506828528,33.8029723991507,28.0873922667545,25.0094825451844,30.2285658268797,37.3940700808625,32.8152002904514,22.8042618544826,28.9876,39.0194635059263
19,75.5999999999999,67.0649006622516,64.8106194690265,63.2823529411764,59.215748031496,52.4957620817843,54.7213055303717,50.0738675958188,45.8926658905704,46.1974895397489,48.9909836065573,48.6564102564102,49.3016241299303,53.2627397260274,52.6025706940874,51.1151020408163,45.4415940224159,48.4427807486631,50.192789373814,47.7044334975369,47.8961538461538,13.6925947521865,17.0039371500812,14.4248936170212,11.5862284820031,8.80075187969924,12.1575078753937,10.0011899876897,10.3989756722151,10.0321816628006,11.9655614377263,12.1706075119737,14.1300821489111,13.9862545215389,14.6753875236294,9.30446305788223,12.6045519516217,11.0045618247298,18.4720964422228,24.8997957794417,18.9279957999737,22.0890868596881,19.173052763819,22.5621145374449,16.1814002897151,18.9463322647557,19.6099972074839,18.8022616494443,24.298875,16.2611320754716,20.3439929015084,20.6248747913188,17.0159999999999,17.8343523479357,19.4621523579201,24.1742631200575,29.8179884393063,23.0092125847383,28.2665337056242,43.8875444839857,41.5092436974789,39.2504690431519,43.5008828722778,38.6271155595996,38.1636287274254,33.1554833468724,40.5927272727272,37.1469462169553,43.6998963730569,34.8060881174899,36.4214559386973,50.85
